"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2017","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.0","24.6","5100","Overall","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.6","21.3","25.9","5112","Overall","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","22.6","27.2","5042","Overall","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.7","22.7","26.7","4925","Overall","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.9","24.1","27.7","5101","Overall","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","23.3","26.7","5079","Overall","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.0","24.8","29.2","4714","Overall","All Ages","All Races","All Grades"
"2018","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.2","10.4","12.0","11118","Overall","All Ages","All Races","All Grades"
"2017","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.3","10.3","12.3","8717","Overall","All Ages","All Races","All Grades"
"2016","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.0","10.2","11.8","10427","Overall","All Ages","All Races","All Grades"
"2015","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.7","11.0","12.4","11368","Overall","All Ages","All Races","All Grades"
"2014","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.8","11.8","13.8","8195","Overall","All Ages","All Races","All Grades"
"2013","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.5","11.6","13.4","10622","Overall","All Ages","All Races","All Grades"
"2012","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.6","11.8","13.4","14543","Overall","All Ages","All Races","All Grades"
"2011","California","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","13.0","14.4","17985","Overall","All Ages","All Races","All Grades"
"2018","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.5","13.6","15.4","8188","Overall","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.6","13.6","15.6","8930","Overall","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.6","14.7","16.5","13656","Overall","All Ages","All Races","All Grades"
"2015","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.6","14.5","16.7","12355","Overall","All Ages","All Races","All Grades"
"2014","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.7","14.8","16.6","12253","Overall","All Ages","All Races","All Grades"
"2013","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.8","18.6","12774","Overall","All Ages","All Races","All Grades"
"2012","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.7","18.7","11657","Overall","All Ages","All Races","All Grades"
"2011","Colorado","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","17.2","19.4","13516","Overall","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.2","11.3","13.1","10276","Overall","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.7","11.7","13.7","10072","Overall","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","12.3","14.3","10635","Overall","All Ages","All Races","All Grades"
"2015","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.5","12.5","14.5","11293","Overall","All Ages","All Races","All Grades"
"2014","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.4","14.2","16.6","7447","Overall","All Ages","All Races","All Grades"
"2013","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","14.3","16.7","7479","Overall","All Ages","All Races","All Grades"
"2012","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.0","14.8","17.2","8609","Overall","All Ages","All Races","All Grades"
"2011","Connecticut","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","15.7","18.5","6792","Overall","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.1","17.9","5011","Overall","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.0","15.3","18.7","3959","Overall","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.0","19.4","3906","Overall","All Ages","All Races","All Grades"
"2015","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","15.6","19.2","3931","Overall","All Ages","All Races","All Grades"
"2014","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.0","21.8","4148","Overall","All Ages","All Races","All Grades"
"2013","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","18.0","21.2","5052","Overall","All Ages","All Races","All Grades"
"2012","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.7","18.1","21.3","5146","Overall","All Ages","All Races","All Grades"
"2011","Delaware","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","19.9","23.7","4762","Overall","All Ages","All Races","All Grades"
"2018","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","12.3","15.3","4137","Overall","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.8","15.8","3748","Overall","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","13.2","16.2","3736","Overall","All Ages","All Races","All Grades"
"2015","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.0","13.6","18.4","3782","Overall","All Ages","All Races","All Grades"
"2014","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","14.2","18.6","3832","Overall","All Ages","All Races","All Grades"
"2013","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.8","16.8","20.8","4702","Overall","All Ages","All Races","All Grades"
"2012","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","17.3","21.9","3720","Overall","All Ages","All Races","All Grades"
"2011","District of Columbia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.8","18.8","22.8","4518","Overall","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.5","13.4","15.6","14589","Overall","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.1","14.9","17.3","21035","Overall","All Ages","All Races","All Grades"
"2016","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","14.7","16.3","35059","Overall","All Ages","All Races","All Grades"
"2015","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.7","16.9","9253","Overall","All Ages","All Races","All Grades"
"2014","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","16.4","18.8","9207","Overall","All Ages","All Races","All Grades"
"2013","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.8","15.9","17.7","33028","Overall","All Ages","All Races","All Grades"
"2012","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.3","19.1","7465","Overall","All Ages","All Races","All Grades"
"2011","Florida","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","18.2","20.4","12320","Overall","All Ages","All Races","All Grades"
"2018","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.1","15.1","17.1","8783","Overall","All Ages","All Races","All Grades"
"2017","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","16.2","18.8","5726","Overall","All Ages","All Races","All Grades"
"2016","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","16.5","19.3","5145","Overall","All Ages","All Races","All Grades"
"2015","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.1","19.3","4362","Overall","All Ages","All Races","All Grades"
"2014","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","16.0","18.8","5952","Overall","All Ages","All Races","All Grades"
"2013","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.8","17.5","20.1","7725","Overall","All Ages","All Races","All Grades"
"2012","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","18.9","21.9","5894","Overall","All Ages","All Races","All Grades"
"2011","Georgia","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.9","22.5","9902","Overall","All Ages","All Races","All Grades"
"2018","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.4","12.3","14.5","7566","Overall","All Ages","All Races","All Grades"
"2017","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.8","11.7","13.9","7422","Overall","All Ages","All Races","All Grades"
"2016","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.1","12.0","14.2","7777","Overall","All Ages","All Races","All Grades"
"2015","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.8","15.4","6892","Overall","All Ages","All Races","All Grades"
"2014","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.9","15.3","6890","Overall","All Ages","All Races","All Grades"
"2013","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","12.2","14.4","7676","Overall","All Ages","All Races","All Grades"
"2012","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.6","13.3","15.9","7495","Overall","All Ages","All Races","All Grades"
"2011","Hawaii","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.8","15.4","18.2","7578","Overall","All Ages","All Races","All Grades"
"2018","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","13.0","16.4","3594","Overall","All Ages","All Races","All Grades"
"2017","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.8","15.8","4748","Overall","All Ages","All Races","All Grades"
"2016","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.5","13.0","16.0","5078","Overall","All Ages","All Races","All Grades"
"2015","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","12.5","15.1","5617","Overall","All Ages","All Races","All Grades"
"2014","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","14.4","17.4","5257","Overall","All Ages","All Races","All Grades"
"2013","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","15.6","18.8","5491","Overall","All Ages","All Races","All Grades"
"2012","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","14.6","18.2","5794","Overall","All Ages","All Races","All Grades"
"2011","Idaho","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","15.5","18.9","6056","Overall","All Ages","All Races","All Grades"
"2018","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","14.2","16.8","5128","Overall","All Ages","All Races","All Grades"
"2017","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","14.2","16.8","5345","Overall","All Ages","All Races","All Grades"
"2016","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.4","17.2","4609","Overall","All Ages","All Races","All Grades"
"2015","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.1","13.8","16.4","5137","Overall","All Ages","All Races","All Grades"
"2014","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.0","18.0","4844","Overall","All Ages","All Races","All Grades"
"2013","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.0","16.5","19.5","5526","Overall","All Ages","All Races","All Grades"
"2012","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.6","16.9","20.3","5530","Overall","All Ages","All Races","All Grades"
"2011","Illinois","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.1","22.7","5473","Overall","All Ages","All Races","All Grades"
"2018","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.8","22.4","7269","Overall","All Ages","All Races","All Grades"
"2017","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.8","22.8","13261","Overall","All Ages","All Races","All Grades"
"2016","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.9","22.3","10690","Overall","All Ages","All Races","All Grades"
"2015","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.6","18.9","22.3","5846","Overall","All Ages","All Races","All Grades"
"2014","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","21.7","24.1","10978","Overall","All Ages","All Races","All Grades"
"2013","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.8","23.0","10068","Overall","All Ages","All Races","All Grades"
"2012","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","22.8","25.2","8511","Overall","All Ages","All Races","All Grades"
"2011","Indiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.6","24.2","27.0","8444","Overall","All Ages","All Races","All Grades"
"2018","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.6","15.7","17.5","8842","Overall","All Ages","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","16.0","18.2","7437","Overall","All Ages","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.7","15.5","17.9","7004","Overall","All Ages","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.7","19.5","6021","Overall","All Ages","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","17.3","19.7","7751","Overall","All Ages","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","18.2","20.8","7983","Overall","All Ages","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.9","19.3","7015","Overall","All Ages","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","19.2","21.6","7327","Overall","All Ages","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","16.2","18.2","10377","Overall","All Ages","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","16.7","18.1","20693","Overall","All Ages","All Races","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","16.3","18.1","11548","Overall","All Ages","All Races","All Grades"
"2015","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","17.0","18.4","22055","Overall","All Ages","All Races","All Grades"
"2014","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","17.3","18.9","13163","Overall","All Ages","All Races","All Grades"
"2013","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.0","19.3","20.7","22891","Overall","All Ages","All Races","All Grades"
"2012","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.4","18.4","20.4","11709","Overall","All Ages","All Races","All Grades"
"2011","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","21.2","22.8","20616","Overall","All Ages","All Races","All Grades"
"2018","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.8","25.0","8306","Overall","All Ages","All Races","All Grades"
"2017","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.6","23.0","26.2","8345","Overall","All Ages","All Races","All Grades"
"2016","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.5","23.1","25.9","9978","Overall","All Ages","All Races","All Grades"
"2015","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.9","24.2","27.6","8536","Overall","All Ages","All Races","All Grades"
"2014","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.2","24.7","27.7","10767","Overall","All Ages","All Races","All Grades"
"2013","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.5","25.1","27.9","10584","Overall","All Ages","All Races","All Grades"
"2012","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.3","26.9","29.7","10867","Overall","All Ages","All Races","All Grades"
"2011","Kentucky","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","29.0","27.5","30.5","10827","Overall","All Ages","All Races","All Grades"
"2018","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","19.0","22.0","4853","Overall","All Ages","All Races","All Grades"
"2017","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.1","21.4","24.8","4534","Overall","All Ages","All Races","All Grades"
"2016","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","20.8","24.8","5018","Overall","All Ages","All Races","All Grades"
"2015","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.2","23.6","4483","Overall","All Ages","All Races","All Grades"
"2014","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","22.6","25.4","6514","Overall","All Ages","All Races","All Grades"
"2013","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.5","25.5","5162","Overall","All Ages","All Races","All Grades"
"2012","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.8","23.2","26.4","8997","Overall","All Ages","All Races","All Grades"
"2011","Louisiana","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.7","24.3","27.1","10897","Overall","All Ages","All Races","All Grades"
"2018","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.8","16.6","19.0","10693","Overall","All Ages","All Races","All Grades"
"2017","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.3","16.0","18.6","9326","Overall","All Ages","All Races","All Grades"
"2016","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.8","18.5","21.1","9774","Overall","All Ages","All Races","All Grades"
"2015","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","18.1","20.9","8826","Overall","All Ages","All Races","All Grades"
"2014","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","18.1","20.5","8808","Overall","All Ages","All Races","All Grades"
"2013","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","18.9","21.5","7962","Overall","All Ages","All Races","All Grades"
"2012","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","19.2","21.4","9810","Overall","All Ages","All Races","All Grades"
"2011","Maine","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","21.7","23.9","13166","Overall","All Ages","All Races","All Grades"
"2018","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.5","11.7","13.3","16872","Overall","All Ages","All Races","All Grades"
"2017","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","12.8","14.8","12944","Overall","All Ages","All Races","All Grades"
"2016","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","12.9","14.5","17563","Overall","All Ages","All Races","All Grades"
"2015","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.1","13.6","16.6","12019","Overall","All Ages","All Races","All Grades"
"2014","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.6","13.4","15.8","12126","Overall","All Ages","All Races","All Grades"
"2013","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","15.3","17.5","12593","Overall","All Ages","All Races","All Grades"
"2012","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.2","15.0","17.4","12456","Overall","All Ages","All Races","All Grades"
"2011","Maryland","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.8","20.4","10061","Overall","All Ages","All Races","All Grades"
"2018","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.4","12.2","14.6","6471","Overall","All Ages","All Races","All Grades"
"2017","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","12.3","15.1","6668","Overall","All Ages","All Races","All Grades"
"2016","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.6","12.5","14.7","7960","Overall","All Ages","All Races","All Grades"
"2015","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.0","13.0","15.0","8741","Overall","All Ages","All Races","All Grades"
"2014","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","13.7","15.7","14686","Overall","All Ages","All Races","All Grades"
"2013","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.6","15.6","17.6","14274","Overall","All Ages","All Races","All Grades"
"2012","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","15.6","17.2","20682","Overall","All Ages","All Races","All Grades"
"2011","Massachusetts","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","17.3","19.1","22150","Overall","All Ages","All Races","All Grades"
"2018","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.9","17.9","19.9","9953","Overall","All Ages","All Races","All Grades"
"2017","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","18.3","20.3","10500","Overall","All Ages","All Races","All Grades"
"2016","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","19.4","21.4","11668","Overall","All Ages","All Races","All Grades"
"2015","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","19.5","21.9","8652","Overall","All Ages","All Races","All Grades"
"2014","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","20.0","22.4","8231","Overall","All Ages","All Races","All Grades"
"2013","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","20.3","22.5","12519","Overall","All Ages","All Races","All Grades"
"2012","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","22.1","24.5","10361","Overall","All Ages","All Races","All Grades"
"2011","Michigan","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","22.0","24.6","11002","Overall","All Ages","All Races","All Grades"
