State,Number of fires,Number of acres burned,Year
Ohio,31,152,2013
Oklahoma,610,26490,2013
Oregon,2848,350786,2013
Pennsylvania,639,1788,2013
Rhode Island,7,27,2013
South Carolina,1337,7082,2013
South Dakota,889,4475,2013
Tennessee,424,7080,2013
Texas,70,10743,2013
Utah,1276,70282,2013
Vermont,124,281,2013
Virginia,482,4418,2013
Washington,1527,152603,2013
West Virginia,557,8577,2013
Wisconsin,671,9196,2013
Wyoming,468,44016,2013
Alabama,2093,40527,2014
Alaska,384,233561,2014
Arizona,1543,205199,2014
Arkansas,1302,20164,2014
California,7865,555044,2014
Colorado,830,24949,2014
Connecticut,28,69,2014
Delaware,0,0,2014
Florida,2436,101599,2014
Georgia,3562,19199,2014
Hawaii,0,0,2014
Idaho,1180,189430,2014
Illinois,36,727,2014
Indiana,54,276,2014
Iowa,577,11347,2014
Kansas,68,31261,2014
Kentucky,1466,43199,2014
Louisiana,1005,25337,2014
Maine,282,158,2014
Maryland,125,1802,2014
Massachusetts,1169,1197,2014
Michigan,268,716,2014
Minnesota,990,4367,2014
Mississippi,97,10053,2014
Missouri,105,5607,2014
Montana,1646,38118,2014
Nebraska,38,992,2014
Nevada,531,59252,2014
New Hampshire,62,45,2014
New Jersey,962,10400,2014
New Mexico,728,23440,2014
New York,94,582,2014
North Carolina,4625,15601,2014
North Dakota,567,4069,2014
Ohio,63,684,2014
Oklahoma,1007,157080,2014
Oregon,3087,984629,2014
Pennsylvania,877,4519,2014
Rhode Island,1,0,2014
South Carolina,1374,8312,2014
South Dakota,918,13127,2014
Tennessee,1249,156391,2014
Texas,9677,131138,2014
Utah,1035,28255,2014
Vermont,53,91,2014
Virginia,736,10446,2014
Washington,1480,386972,2014
West Virginia,671,8286,2014
Wisconsin,613,3268,2014
Wyoming,403,7836,2014
Alabama,3198,47380,2015
Alaska,768,5111404,2015
Arizona,1662,160152,2015
Arkansas,1837,26630,2015
California,8745,893362,2015
Colorado,709,22602,2015
Connecticut,76,159,2015
Delaware,0,0,2015
Florida,2422,73432,2015
Georgia,2331,10556,2015
Hawaii,17,5611,2015
Idaho,1324,804094,2015
Illinois,18,806,2015
Indiana,16,868,2015
Iowa,533,14945,2015
Kansas,154,53936,2015
Kentucky,774,19207,2015
Louisiana,1172,21036,2015
Maine,375,574,2015
Maryland,158,1078,2015
Massachusetts,1525,1763,2015
Michigan,526,3806,2015
Minnesota,1849,30563,2015
Mississippi,2294,34769,2015
Missouri,3161,29893,2015
Montana,2432,351264,2015
Nebraska,51,4854,2015
Nevada,551,42479,2015
New Hampshire,114,622,2015
New Jersey,1013,2685,2015
New Mexico,696,44104,2015
New York,186,3844,2015
North Carolina,3828,15220,2015
North Dakota,726,32321,2015
Ohio,69,548,2015
Oklahoma,1309,100382,2015
Oregon,2588,685809,2015
Pennsylvania,831,4473,2015
Rhode Island,86,132,2015
South Carolina,976,3800,2015
South Dakota,1032,72985,2015
Tennessee,611,8478,2015
Texas,9272,184418,2015
Utah,930,10203,2015
Vermont,102,346,2015
Virginia,631,6574,2015
Washington,2013,1137664,2015
West Virginia,8,219,2015
Wisconsin,993,2970,2015
Wyoming,512,35652,2015
Alaska,572,496467,2016
Alabama,3923,59030,2016
Arizona,2288,308245,2016
Arkansas,1513,33371,2016
California,7349,560815,2016
Colorado,1190,129495,2016
Connecticut,268,778,2016
Delaware,0,0,2016
Florida,3067,74416,2016
Georgia,5086,52119,2016
Hawaii,10,15098,2016
Idaho,630,361649,2016
Illinois,12,133,2016
Indiana,27,620,2016
Iowa,465,21371,2016
Kansas,75,349829,2016
Kentucky,1220,73864,2016
Louisiana,508,7799,2016
Maine,796,946,2016
Maryland,120,242,2016
Massachusetts,1526,1381,2016
Michigan,389,3666,2016
Minnesota,1422,12268,2016
Mississippi,94,8128,2016
Missouri,2610,32134,2016
Montana,2026,114594,2016
Nebraska,45,24498,2016
Nevada,467,265156,2016
New Hampshire,148,880,2016
New Jersey,1050,4445,2016
New Mexico,1240,212425,2016
New York ,196,4236,2016
North Carolina,4007,88109,2016
North Dakota,563,4657,2016
Ohio,410,1116,2016
Oklahoma,1938,767780,2016
Oregon,1245,219509,2016
Pennsylvania,871,12245,2016
Rhode Island,79,57,2016
South Carolina,982,3804,2016
South Dakota,1216,81561,2016
Tennessee,2165,88038,2016
Texas,9300,356680,2016
Utah,1078,101096,2016
Vermont,150,386,2016
Virginia,580,41441,2016
Washington,1272,293717,2016
West Virginia,18,443,2016
Wisconsin,713,695,2016
Wyoming,711,218077,2016
Alabama,1254,20192,2017
Alaska,364,653023,2017
Arizona,2321,429564,2017
Arkansas,1706,34624,2017
California,9560,1266224,2017
Colorado,967,111667,2017
Connecticut,97,243,2017
Delaware,5,6,2017
Florida,3280,298831,2017
Georgia,3929,200785,2017
Hawaii,3,2098,2017
Idaho,1598,686262,2017
Illinois,13,98,2017
Indiana,22,553,2017
Iowa,427,7216,2017
Kansas,71,476306,2017
Kentucky,892,28927,2017
Louisiana,1064,11356,2017
Maine,489,369,2017
Maryland,108,2178,2017
Massachusetts,1216,844,2017
Michigan,270,736,2017
Minnesota,1036,5553,2017
Mississippi,2775,40595,2017
Missouri,3398,8459,2017
Montana,2422,1366498,2017
Nebraska,49,3160,2017
Nevada,768,1329289,2017
New Hampshire,36,123,2017
New Jersey,735,5144,2017
New Mexico,813,141663,2017
New York,57,191,2017
North Carolina,5125,46507,2017
North Dakota,1086,19841,2017
Ohio,68,733,2017
Oklahoma,1906,502625,2017
Oregon,2049,714520,2017
Pennsylvania,537,1652,2017
Rhode Island,31,30,2017
South Carolina,1092,11041,2017
South Dakota,1420,77386,2017
Tennessee,593,6949,2017
Texas,9827,734682,2017
Utah,1166,249829,2017
Vermont,55,50,2017
Virginia,1522,20194,2017
Washington,1346,404223,2017
West Virginia,520,6866,2017
Wisconsin,696,661,2017
Wyoming,599,90115,2017
Alabama,157,91199,2009
Alaska,528,2951887,2009
Arizona,4468,410889,2009
Arkansas,1387,214514,2009
California,10000,499525,2009
Colorado,1415,76130,2009
Connecticut,270,322,2009
Delaware,25,136,2009
Florida,3371,559069,2009
Georgia,3908,113883,2009
Hawaii,1,7800,2009
Idaho,1539,56576,2009
Illinois,365,15988,2009
Indiana,2372,17840,2009
Iowa,1339,41904,2009
Kansas,190,57122,2009
Kentucky,1469,62499,2009
Louisiana,1590,39121,2009
Maine,520,693,2009
Maryland,480,6309,2009
Massachusetts,1142,1357,2009
Michigan,636,18049,2009
Minnesota,2112,172018,2009
Mississippi,2391,40080,2009
Missouri,3559,137509,2009
Montana,2108,87345,2009
Nebraska,118,12561,2009
Nevada,704,36474,2009
New Hampshire,320,341,2009
New Jersey,770,1208,2009
New Mexico,1354,520613,2009
New York,181,1814,2009
North Carolina,3985,181367,2009
North Dakota,412,28118,2009
Ohio,1179,15449,2009
Oklahoma,1787,159331,2009
Oregon,2238,231322,2009
Pennsylvania,640,6541,2009
Rhode Island,50,45,2009
South Carolina,2229,120667,2009
South Dakota,997,50201,2009
Tennessee,1466,44671,2009
Texas,16765,926087,2009
Utah,1283,140926,2009
Vermont,102,547,2009
Virginia,957,25394,2009
Washington,2111,103669,2009
West Virginia,938,13746,2009
Wisconsin,2299,34967,2009
Wyoming,450,39422,2009
Alaska,368,103647,2008
Alabama,3103,32447,2008
Arkansas,918,10993,2008
Arizona,1868,113644,2008
California,4139,1405284,2008
Colorado,1142,144342,2008
Connecticut,330,893,2008
Delaware,20,36,2008
Florida,2939,156102,2008
Georgia,5454,23081,2008
Hawaii,0,0,2008
Iowa,177,2217,2008
Idaho,1035,168467,2008
Illinois,16,18,2008
Indiana,572,1064,2008
Kansas,68,64772,2008
Kentucky,1552,38474,2008
Louisiana,1359,17332,2008
Massachusetts,1833,2918,2008
Maryland,564,2421,2008
Maine,442,535,2008
Michigan,412,2675,2008
Minnesota,1136,19712,2008
Missouri,1051,9765,2008
Mississippi,1898,27399,2008
Montana,1447,174771,2008
North Carolina,4144,95938,2008
North Dakota,936,38620,2008
Nebraska,15,374,2008
New Hampshire,274,195,2008
New Jersey,1239,3323,2008
New Mexico,1216,489859,2008
Nevada,471,82469,2008
New York,156,3629,2008
Ohio,348,1078,2008
Oklahoma,5572,196563,2008
Oregon,1780,140221,2008
Pennsylvania,733,7694,2008
Rhode Island,119,132,2008
South Carolina,2626,15751,2008
South Dakota,957,8936,2008
Tennessee,1437,23431,2008
Texas,16713,1570586,2008
Utah,1020,31550,2008
Virginia,1227,42587,2008
Vermont,124,168,2008
Washington,1335,148074,2008
Wisconsin,895,1050,2008
West Virginia,885,10296,2008
Wyoming,303,90889,2008
Alaska,506,649416,2007
Alabama,3373,64262,2007
Arkansas,1291,35693,2007
Arizona,2263,112141,2007
California,9139,1088894,2007
Colorado,1370,20968,2007
Connecticut,361,288,2007
Delaware,23,153,2007
Florida,4802,587710,2007
Georgia,8726,837895,2007
Hawaii,5,21030,2007
Iowa,54,684,2007
Idaho,1546,2179769,2007
Illinois,77,611,2007
Indiana,886,5730,2007
Kansas,75,24260,2007
Kentucky,2092,60917,2007
Louisiana,931,9341,2007
Massachusetts,2204,2687,2007
Maryland,675,5790,2007
Maine,491,423,2007
Michigan,535,23344,2007
Minnesota,1823,163122,2007
Missouri,165,10537,2007
Mississippi,1233,16119,2007
Montana,1901,822811,2007
North Carolina,7000,54658,2007
North Dakota,953,41647,2007
Nebraska,62,4074,2007
New Hampshire,422,212,2007
New Jersey,1257,20849,2007
New Mexico,1440,124535,2007
Nevada,897,894045,2007
New York,211,855,2007
Ohio,576,1578,2007
Oklahoma,3527,70324,2007
Oregon,2561,648046,2007
Pennsylvania,523,1047,2007
Rhode Island,100,61,2007
South Carolina,3842,17064,2007
South Dakota,1505,78013,2007
Tennessee,3364,48699,2007
Texas,702,36305,2007
Utah,1442,627914,2007
Virginia,1571,15426,2007
Vermont,99,230,2007
Washington,1271,215727,2007
Wisconsin,1458,4713,2007
West Virginia,846,7149,2007
Wyoming,617,81895,2007
Alaska,311,266583,2006
Alabama,3282,55901,2006
Arkansas,2701,79245,2006
Arizona,3307,198313,2006
California,8262,702636,2006
Colorado,2034,94483,2006
Connecticut,322,419,2006
Delaware,30,126,2006
Florida,4296,200090,2006
Georgia,8352,40202,2006
Hawaii,4,9863,2006
Iowa,15,827,2006
Idaho,1941,972906,2006
Illinois,26,1040,2006
Indiana,747,3468,2006
Kansas,147,85746,2006
Kentucky,1955,60534,2006
Louisiana,2256,42712,2006
Massachusetts,2134,2821,2006
Maryland,770,6396,2006
Maine,614,1794,2006
Michigan,500,8128,2006
Minnesota,2441,68237,2006
Missouri,256,24308,2006
Mississippi,7427,178973,2006
Montana,2355,1062600,2006
North Carolina,5540,24995,2006
North Dakota,1383,90794,2006
Nebraska,64,7164,2006
New Hampshire,495,472,2006
New Jersey,1599,2514,2006
New Mexico,2655,623158,2006
Nevada,1292,1352372,2006
New York,249,2508,2006
Ohio,747,3866,2006
Oklahoma,3320,324011,2006
Oregon,3255,548870,2006
Pennsylvania,563,6822,2006
Rhode Island,106,120,2006
South Carolina,2795,14682,2006
South Dakota,2342,237807,2006
Tennessee,2417,36479,2006
Texas,3062,1564170,2006
Utah,1879,346910,2006
Virginia,1315,19989,2006
Vermont,125,232,2006
Washington,1583,419348,2006
Wisconsin,1702,2287,2006
West Virginia,1038,15480,2006
Wyoming,727,224938,2006
Alaska,622,4608744,2005
Alabama,1694,25456,2005
Arkansas,1891,26317,2005
Arizona,4046,998042,2005
California,7210,215323,2005
Colorado,1411,34565,2005
Connecticut,316,263,2005
Delaware,16,231,2005
Florida,2202,39563,2005
Georgia,5573,19263,2005
Hawaii,1,4,2005
Iowa,94,10566,2005
Idaho,1244,542960,2005
Illinois,27,733,2005
Indiana,1151,2568,2005
Kansas,78,21670,2005
Kentucky,1795,60005,2005
Louisiana,1814,47468,2005
Massachusetts,2173,2530,2005
Maryland,444,4350,2005
Maine,507,822,2005
Michigan,680,4684,2005
Minnesota,1747,24955,2005
Missouri,268,0,2005
Mississippi,127,5409,2005
Montana,1372,137090,2005
North Carolina,4181,16801,2005
North Dakota,355,10195,2005
Nebraska,175,2670,2005
New Hampshire,517,172,2005
New Jersey,1214,1532,2005
New Mexico,1309,162812,2005
Nevada,808,1032255,2005
New York,206,656,2005
Ohio,565,2920,2005
Oklahoma,24445,146594,2005
Oregon,1856,192081,2005
Pennsylvania,304,1100,2005
Rhode Island,95,84,2005
South Carolina,2567,14436,2005
South Dakota,1242,15926,2005
Tennessee,1982,22857,2005
Texas,2297,158520,2005
Utah,1286,321386,2005
Virginia,778,5337,2005
Vermont,244,574,2005
Washington,998,185748,2005
Wisconsin,1628,6311,2005
West Virginia,995,2762,2005
Wyoming,421,18014,2005
